outlet_name_mbfc,url_mbfc,bias_mbfc,factual_reporting_mbfc,country_mbfc,credibility_mbfc,url_cleaned
Daily 49er,https://mediabiasfactcheck.com/daily-49er,Left,High,US,High,daily49er.com
Daily Banter,https://mediabiasfactcheck.com/the-daily-banter,Left,Mixed,US,Medium,thedailybanter.com
Daily Bell,https://mediabiasfactcheck.com/the-daily-bell,Questionable,Low,US,Low,thedailybell.com
Daily Boulder,https://mediabiasfactcheck.com/the-daily-boulder-bias,Questionable,Mixed,US,Low,dailyboulder.com
Daily Buzz,https://mediabiasfactcheck.com/the-daily-buzz,Left,Mixed,US,Medium,the-daily.buzz
Daily Centrist,https://mediabiasfactcheck.com/the-daily-centrist,Center,Mixed,US,Medium,thedailycentrist.com
Dekalb Daily Chronicle,https://mediabiasfactcheck.com/the-daily-chronicle,Center,High,US,High,shawlocal.com/daily-chronicle
Daily Citizen (Dalton,https://mediabiasfactcheck.com/daily-citizen-dalton,Center-Left,High,US,High,dailycitizen.news
Daily Climate,https://mediabiasfactcheck.com/the-daily-climate,Center-Left,High,US,High,dailyclimate.org
Daily Conspiracy,https://mediabiasfactcheck.com/the-daily-conspiracy,Conspiracy-Pseudoscience,Low,US,Low,thedailyconspiracy.com
Daily Defender,https://mediabiasfactcheck.com/the-daily-defender,Right,Mixed,US,Medium,thedailydefender.com
Daily Discord,https://mediabiasfactcheck.com/the-daily-discord,Satire,,US,,dailydiscord.com
Daily Gazette,https://mediabiasfactcheck.com/the-daily-gazette,Center,High,US,High,dailygazette.com
Daily Mire,https://mediabiasfactcheck.com/the-daily-mire,Satire,,US,,thedailymire.com
Daily News (Longview,https://mediabiasfactcheck.com/the-daily-news-longview,Center,High,US,High,tdn.com
Daily Northwestern,https://mediabiasfactcheck.com/the-daily-northwestern,Center,High,US,High,dailynorthwestern.com
Daily Progress,https://mediabiasfactcheck.com/the-daily-progress,Center,High,US,High,dailyprogress.com
Daily Star,https://mediabiasfactcheck.com/the-daily-star,Center-Left,High,US,High,thedailystar.com
Daily Tarheel,https://mediabiasfactcheck.com/the-daily-tarheel,Center-Left,High,US,High,dailytarheel.com
Daily Wire,https://mediabiasfactcheck.com/the-daily-wire,Right,Mixed,US,Medium,dailywire.com
Day (New London,https://mediabiasfactcheck.com/day-new-london,Center-Left,High,US,High,theday.com
DC Chronicle,https://mediabiasfactcheck.com/the-dc-chronicle,Right,Mixed,US,Medium,dc-chronicle.com
DC Clothesline,https://mediabiasfactcheck.com/the-d-c-clothesline,Questionable,Low,US,Low,dcclothesline.com
DC Patriot,https://mediabiasfactcheck.com/the-dc-patriot,Questionable,Low,US,Low,thedcpatriot.com
Defcon Warning System,https://mediabiasfactcheck.com/defcon-warning-system,Center,High,US,High,defconwarningsystem.com
Democratic Hub,https://mediabiasfactcheck.com/the-democratic-hub,Left,Mixed,US,Medium,democratichub.com
Deplorable Society,https://mediabiasfactcheck.com/the-deplorable-society,Questionable,Low,US,Low,thedeplorablesociety.com
Desert Review,https://mediabiasfactcheck.com/the-desert-review-bias,Questionable,Mixed,US,Low,thedesertreview.com
Dispatch,https://mediabiasfactcheck.com/the-dispatch,Center-Right,High,US,High,thedispatch.com
Dodo,https://mediabiasfactcheck.com/dodo-bias-rating,Left,Mostly Factual,US,High,thedodo.com
Dominion Post,https://mediabiasfactcheck.com/the-dominion-post,Center-Left,High,US,High,dominionpost.com
Durango Herald,https://mediabiasfactcheck.com/the-durango-herald,Center-Right,High,US,High,durangoherald.com
Dworkin Report,https://mediabiasfactcheck.com/the-dworkin-report,Left,Mixed,US,Medium,dworkinreport.com
EC Journal,https://mediabiasfactcheck.com/the-ec-journal,Center-Right,Mixed,US,Low,theecjournal.com
Elkhart Truth,https://mediabiasfactcheck.com/the-elkhart-truth,Center-Right,High,US,High,elkharttruth.com
Epoch Times,https://mediabiasfactcheck.com/the-epoch-times,Questionable,Mixed,US,Low,theepochtimes.com
Establishment,https://mediabiasfactcheck.com/the-establishment,Left,High,US,High,theestablishment.co
Express-Times (Lehigh Valley,https://mediabiasfactcheck.com/the-express-times-lehigh-valley,Center-Left,High,US,High,lehighvalleylive.com
Fake News Codex,https://mediabiasfactcheck.com/the-fake-news-codex,Center,Very High,US,High,fakenewscodex.com
Federalist,https://mediabiasfactcheck.com/the-federalist,Questionable,Mixed,US,Low,thefederalist.com
Federalist Papers Project,https://mediabiasfactcheck.com/the-federalist-papers-project,Questionable,Low,US,Low,thefederalistpapers.org
Federation for American Immigration Reform,https://mediabiasfactcheck.com/the-federation-for-american-immigration-reform-fair,Questionable,Low,US,Low,fairus.org
First TV,https://mediabiasfactcheck.com/the-first-tv,Right,Mixed,US,Medium,thefirsttv.com
Fiscal Times,https://mediabiasfactcheck.com/the-fiscal-times,Center-Right,High,US,High,thefiscaltimes.com
Flip Side,https://mediabiasfactcheck.com/the-flip-side,Center,High,US,High,theflipside.io
Florida Squeeze,https://mediabiasfactcheck.com/the-florida-squeeze,Left,Mixed,US,Medium,thefloridasqueeze.com
Forward,https://mediabiasfactcheck.com/the-forward,Center-Left,High,US,High,forward.com
Free Telegraph,https://mediabiasfactcheck.com/the-free-telegraph,Questionable,Mixed,US,Low,freetelegraph.com
Freedom Times,https://mediabiasfactcheck.com/the-freedom-times,Questionable,Low,US,Low,thefreedomtimes.com
Frontier,https://mediabiasfactcheck.com/frontier-media-bias-credibility-rating,Center-Left,High,US,High,readfrontier.org
Fucking News,https://mediabiasfactcheck.com/the-fucking-news,Left,High,US,High,thefingnews.com
Fulcrum,https://mediabiasfactcheck.com/the-fulcrum,Center-Left,High,US,High,thefulcrum.us
Fullerton Informer,https://mediabiasfactcheck.com/the-fullerton-informer,Conspiracy-Pseudoscience,Very Low,US,Low,thefullertoninformer.com
Gaily Grind,https://mediabiasfactcheck.com/the-gaily-grind-bias,Left,Mixed,US,Medium,thegailygrind.com
Gateway Pundit,https://mediabiasfactcheck.com/the-gateway-pundit,Questionable,Very Low,US,Low,thegatewaypundit.com
Gazette (Cedar Rapids,https://mediabiasfactcheck.com/the-gazette-cedar-rapids,Center-Right,High,US,High,thegazette.com
Ghion Journal,https://mediabiasfactcheck.com/the-ghion-journal,Left,Mostly Factual,US,Medium,ghionjournal.com
Goldwater,https://mediabiasfactcheck.com/the-goldwater,Questionable,Low,US,Low,thegoldwater.com
Good Men Project,https://mediabiasfactcheck.com/the-good-men-project,Left,High,US,High,goodmenproject.com
Gravel Institute,https://mediabiasfactcheck.com/gravel-institute-bias,Left,Mixed,US,Medium,gravelinstitute.org
Grayzone,https://mediabiasfactcheck.com/the-grayzone,Questionable,Mixed,US,Low,thegrayzone.com
Greanville Post,https://mediabiasfactcheck.com/the-greanville-post-bias-rating,Conspiracy-Pseudoscience,Mixed,US,Low,greanvillepost.com
Halfway Post,https://mediabiasfactcheck.com/the-halfway-post,Satire,,US,,halfwaypost.com
Hard Times,https://mediabiasfactcheck.com/the-hard-times,Satire,,US,,thehardtimes.net
Hayride,https://mediabiasfactcheck.com/the-hayride,Questionable,Low,US,Low,thehayride.com
Health Ranger,https://mediabiasfactcheck.com/the-health-ranger,Conspiracy-Pseudoscience,Very Low,US,Low,healthranger.com
Healthy American,https://mediabiasfactcheck.com/the-healthy-american,Conspiracy-Pseudoscience,Very Low,US,Low,thehealthyamerican.org
Herald (Everett,https://mediabiasfactcheck.com/the-herald-everett,Center-Left,High,US,High,heraldnet.com
Herald Journal (Utah,https://mediabiasfactcheck.com/the-herald-journal-utah,Center,High,US,High,hjnews.com
Herald News (Massachusetts,https://mediabiasfactcheck.com/the-herald-news-massachusetts,Center,High,US,High,heraldnews.com
Herald-Dispatch,https://mediabiasfactcheck.com/the-herald-dispatch,Center,High,US,High,herald-dispatch.com
Herald-Sun (Durham North Carolina,https://mediabiasfactcheck.com/the-herald-sun-durham-north-carolina,Center,High,US,High,heraldsun.com
Highwire,https://mediabiasfactcheck.com/the-highwire,Conspiracy-Pseudoscience,Low,US,Low,thehighwire.com
Hill,https://mediabiasfactcheck.com/the-hill,Center,Mostly Factual,US,High,thehill.com
Hill Talk,https://mediabiasfactcheck.com/the-hill-talk,Center-Left,High,US,High,thehilltalk.com
Honest Patriot,https://mediabiasfactcheck.com/the-honest-patriot,Right,Mixed,US,Medium,thehonestpatriot.net
Horn,https://mediabiasfactcheck.com/the-horn-news,Questionable,Low,US,Low,thehornnews.com
Humanist Magazine,https://mediabiasfactcheck.com/the-humanist-magazine,Center-Left,High,US,High,thehumanist.com
Improper Magazine,https://mediabiasfactcheck.com/theimproper-magazine,Left,High,US,High,theimproper.com
Independent Institute,https://mediabiasfactcheck.com/the-independent-review,Center-Right,Mostly Factual,US,High,independent.org
Indypendent,https://mediabiasfactcheck.com/the-indypendent,Left,High,US,High,indypendent.org
Intellectualist,https://mediabiasfactcheck.com/the-intellectualist,Left,Mixed,US,Medium,mavenroundtable.io/theintellectualist
Intercept,https://mediabiasfactcheck.com/the-intercept,Left,Mostly Factual,US,High,theintercept.com
International Reporter,https://mediabiasfactcheck.com/the-international-reporter,Conspiracy-Pseudoscience,Mixed,US,Low,theglobeandmail.com/about/journalists/foreign-correspondents
Jack News,https://mediabiasfactcheck.com/the-jack-news,Center-Right,High,US,High,thejacknews.com
Jamestown Foundation,https://mediabiasfactcheck.com/the-jamestown-foundation,Center,High,US,High,jamestown.org
Jewish Press,https://mediabiasfactcheck.com/the-jewish-press,Center-Right,High,US,High,jewishpress.com
Joe Rogan Experience,https://mediabiasfactcheck.com/the-joe-rogan-experience-bias,Center,Mixed,US,Low,joerogan.com
Journal (West Virginia,https://mediabiasfactcheck.com/the-journal-west-virginia,Center-Right,High,US,High,journal-news.net
Journal News,https://mediabiasfactcheck.com/the-journal-news,Center-Left,High,US,High,lohud.com
Journal Standard,https://mediabiasfactcheck.com/journal-standard,Center,High,US,High,journalstandard.com
Knife,https://mediabiasfactcheck.com/the-knife,Center,High,US,High,theknifemedia.com
LA Post,https://mediabiasfactcheck.com/the-la-post,Questionable,Low,US,Low,thelapost.com
Last Refuge,https://mediabiasfactcheck.com/the-last-refuge,Questionable,Low,US,Low,theconservativetreehouse.com
Last Resistance,https://mediabiasfactcheck.com/the-last-resistance,Questionable,Low,US,Low,lastresistance.com
Ledger,https://mediabiasfactcheck.com/the-ledger,Center-Left,High,US,High,theledger.com
Lever,https://mediabiasfactcheck.com/the-daily-poster,Left,High,US,High,levernews.com
Libertarian Republic,https://mediabiasfactcheck.com/the-libertarian-republic,Center-Right,Mostly Factual,US,High,thelibertarianrepublic.com
Liberty Beacon,https://mediabiasfactcheck.com/the-liberty-beacon,Conspiracy-Pseudoscience,Low,US,Low,thelibertybeacon.com
Liberty Daily,https://mediabiasfactcheck.com/the-liberty-daily,Questionable,Mixed,US,Low,thelibertydaily.com
Liberty Eagle,https://mediabiasfactcheck.com/the-liberty-eagle,Questionable,Mixed,US,Low,thelibertyeagle.com
Liberty Loft,https://mediabiasfactcheck.com/the-liberty-loft,Questionable,Mixed,US,Low,thelibertyloft.com
Library of Economics and Liberty,https://mediabiasfactcheck.com/the-library-of-economics-and-liberty-econlib,Right,Mostly Factual,US,Medium,econlib.org
Lily,https://mediabiasfactcheck.com/the-lily,Left,High,US,High,thelily.com
Lincoln Project,https://mediabiasfactcheck.com/the-lincoln-project,Center-Left,Mixed,US,Medium,lincolnproject.us
List,https://mediabiasfactcheck.com/the-list,Center-Left,Mostly Factual,US,Medium,thelist.com
Logic of Science,https://mediabiasfactcheck.com/the-logic-of-science-bias,Pro-Science,High,US,High,thelogicofscience.com
Macon Telegraph,https://mediabiasfactcheck.com/the-macon-telegraph,Center,High,US,High,macon.com
Marietta Times,https://mediabiasfactcheck.com/the-marietta-times,Center,High,US,High,mariettatimes.com
Marshall Project,https://mediabiasfactcheck.com/the-marshall-project,Center,High,US,High,themarshallproject.org
Mary Sue,https://mediabiasfactcheck.com/the-mary-sue,Left,Mostly Factual,US,High,themarysue.com
Maui News,https://mediabiasfactcheck.com/the-maui-news,Center-Left,High,US,High,mauinews.com
Meme Policeman,https://mediabiasfactcheck.com/the-meme-policeman,Center,Mostly Factual,US,High,memepoliceman.com
Militant,https://mediabiasfactcheck.com/the-militant,Left,Mixed,US,Medium,themilitant.com
Millennial Review,https://mediabiasfactcheck.com/the-millennial-review,Right,High,US,High,themilreview.com
Millennium Report,https://mediabiasfactcheck.com/the-millennium-report,Questionable,Low,US,Low,themillenniumreport.com
Mind Unleashed,https://mediabiasfactcheck.com/the-mind-unleashed,Conspiracy-Pseudoscience,Low,US,Low,themindunleashed.com
Moderate Voice,https://mediabiasfactcheck.com/the-moderate-voice,Center-Left,High,US,High,themoderatevoice.com
Moderated Media,https://mediabiasfactcheck.com/the-moderated-media,Center,Mixed,US,Medium,themoderatedmedia.com
Modesto Bee,https://mediabiasfactcheck.com/the-modesto-bee,Center,High,US,High,modbee.com
Monitor (Texas,https://mediabiasfactcheck.com/the-monitor-texas,Center,High,US,High,myrgv.com
Morning Call,https://mediabiasfactcheck.com/the-morning-call,Center,High,US,High,mcall.com
Morning News,https://mediabiasfactcheck.com/the-morning-news-bias,Center,High,US,High,scnow.com
Motley Fool,https://mediabiasfactcheck.com/the-motley-fool,Center-Left,High,US,High,fool.com
Nation,https://mediabiasfactcheck.com/the-nation,Left,High,US,High,thenation.com
National Herald,https://mediabiasfactcheck.com/the-national-herald-tnh,Right,Mixed,US,Medium,thenationalherald.com
National Memo,https://mediabiasfactcheck.com/the-national-memo,Left,Mostly Factual,US,Medium,nationalmemo.com
National Patriot,https://mediabiasfactcheck.com/the-national-patriot,Questionable,Low,US,Low,thenationalpatriot.com
National Pulse,https://mediabiasfactcheck.com/the-national-pulse,Questionable,Mixed,US,Low,thenationalpulse.com
Nationalist Review,https://mediabiasfactcheck.com/the-nationalist-review,Questionable,Low,US,Low,nationalistreview.net
Needling,https://mediabiasfactcheck.com/the-needling,Satire,,US,,theneedling.com
Nevada Independent,https://mediabiasfactcheck.com/the-nevada-independent,Center,High,US,High,thenevadaindependent.com
New American,https://mediabiasfactcheck.com/the-new-american,Right,Mixed,US,Medium,thenewamerican.com
New Atlantis,https://mediabiasfactcheck.com/the-new-atlantis,Center-Right,High,US,High,thenewatlantis.com
New Civil Rights Movement,https://mediabiasfactcheck.com/the-new-civil-rights-movement,Left,Mixed,US,Medium,thenewcivilrightsmovement.com
New Revere,https://mediabiasfactcheck.com/the-new-revere,Right,Mixed,US,Medium,thenewrevere.com
New Tropic,https://mediabiasfactcheck.com/the-new-tropic,Center-Left,High,US,High,thenewtropic.com
Newly Press,https://mediabiasfactcheck.com/the-newly-press,Right,Mixed,US,Medium,newlypress.com
News Guru,https://mediabiasfactcheck.com/the-news-guru,Questionable,Low,US,Low,mynewsguru.com
News Literacy Project,https://mediabiasfactcheck.com/news-literacy-project,Center,High,US,High,newslit.org
News Tribune,https://mediabiasfactcheck.com/the-news-tribune,Center-Left,High,US,High,thenewstribune.com
News-Times (Danbury,https://mediabiasfactcheck.com/the-news-times-danbury,Center-Left,High,US,High,newstimes.com
Next Web (TNW,https://mediabiasfactcheck.com/the-next-web,Center-Left,Mostly Factual,US,High,thenextweb.com
Objective Standard,https://mediabiasfactcheck.com/the-objective-standard,Center-Right,High,US,High,theobjectivestandard.com
Observatory,https://mediabiasfactcheck.com/the-observatory,Center,High,US,High,observatory.journalism.wisc.edu
Odyssey Online,https://mediabiasfactcheck.com/the-odyssey-online,Center-Left,Mixed,US,Medium,theodysseyonline.com
Ohio Star,https://mediabiasfactcheck.com/the-ohio-star,Questionable,Mixed,US,Low,theohiostar.com
Oklahoman,https://mediabiasfactcheck.com/the-oklahoman,Center-Right,High,US,High,oklahoman.com
Olympian,https://mediabiasfactcheck.com/the-olympian,Center-Left,High,US,High,theolympian.com
Onion,https://mediabiasfactcheck.com/the-onion,Satire,,US,,theonion.com
Other 98,https://mediabiasfactcheck.com/the-other-98,Questionable,Low,US,Low,other98.com
Outline,https://mediabiasfactcheck.com/the-outline,Left,High,US,High,theoutline.com
Outlook (Monmouth University,https://mediabiasfactcheck.com/the-outlook-monmouth-university,Center,High,US,High,outlook.monmouth.edu
Palestine Chronicle,https://mediabiasfactcheck.com/the-palestine-chronicle,Left,Mostly Factual,US,Medium,palestinechronicle.com
Palm Beach Post,https://mediabiasfactcheck.com/the-palm-beach-post,Center-Left,High,US,High,palmbeachpost.com
Pantagraph,https://mediabiasfactcheck.com/the-pantagraph,Center-Right,High,US,High,pantagraph.com
Patriot Nation,https://mediabiasfactcheck.com/the-patriot-nation,Questionable,Low,US,Low,thepatriotnation.net
Patriot Post,https://mediabiasfactcheck.com/the-patriot-post,Right,Mostly Factual,US,High,patriotpost.us
Patriot-News,https://mediabiasfactcheck.com/the-patriot-news,Center-Left,High,US,High,pennlive.com
People's Cube,https://mediabiasfactcheck.com/the-peoples-cube,Satire,,US,,thepeoplescube.com
Plain Dealer,https://mediabiasfactcheck.com/the-plain-dealer,Center-Left,High,US,High,cleveland.com
Political Garbage Chute,https://mediabiasfactcheck.com/the-political-garbage-chute,Satire,,US,,politicalgarbagechute.com
Post & Email,https://mediabiasfactcheck.com/the-post-email,Right,Mixed,US,Medium,thepostemail.com
Post and Courier,https://mediabiasfactcheck.com/the-post-and-courier,Center,High,US,High,postandcourier.com
Post Star,https://mediabiasfactcheck.com/the-post-star,Center,High,US,High,poststar.com
Post-Journal (Jamestown New york,https://mediabiasfactcheck.com/the-post-journal-jamestown-new-york,Center-Right,High,US,High,post-journal.com
Post-Standard (Syracuse,https://mediabiasfactcheck.com/the-post-standard-syracuse,Center,High,US,High,syracuse.com
Press Democrat,https://mediabiasfactcheck.com/the-press-democrat,Center-Left,High,US,High,pressdemocrat.com
Press-Enterprise,https://mediabiasfactcheck.com/the-press-enterprise,Center-Right,High,US,High,pe.com
Progressive,https://mediabiasfactcheck.com/the-progressive,Left,Mostly Factual,US,High,progressive.org
Progressive Frontier,https://mediabiasfactcheck.com/the-progressive-frontier,Left,Mixed,US,Medium,progressivefrontier.com
Proud Liberal,https://mediabiasfactcheck.com/the-proud-liberal,Questionable,Mixed,US,Low,theproudliberal.org
Pulse,https://mediabiasfactcheck.com/the-pulse,Center-Left,High,US,High,pulsegulfcoast.com
Purist Magazine,https://mediabiasfactcheck.com/the-purist-magazine-bias,Conspiracy-Pseudoscience,Low,US,Low,thepuristonline.com
Raging Patriot,https://mediabiasfactcheck.com/the-raging-patriot-bias,Questionable,Low,US,Low,theragingpatriot.org
RANTidote,https://mediabiasfactcheck.com/the-rantidote,Right,Mixed,US,Medium,therantidote.com
Real Strategy,https://mediabiasfactcheck.com/the-real-strategy,Right,Mixed,US,Medium,therealstrategy.com
Reality-Based Community,https://mediabiasfactcheck.com/reality-based-community,Left,High,US,High,samefacts.com
Record (New Jersey,https://mediabiasfactcheck.com/the-record-new-jersey,Center-Left,High,US,High,northjersey.com
Record (Stockton,https://mediabiasfactcheck.com/the-record-stockton,Center,High,US,High,recordnet.com
Red Elephants,https://mediabiasfactcheck.com/the-red-elephants,Questionable,Very Low,US,Low,theredelephants.com
Red Shtick,https://mediabiasfactcheck.com/the-red-shtick,Satire,,US,,theredshtick.com
Region News,https://mediabiasfactcheck.com/the-region-news,Questionable,Mixed,US,Low,theregionnews.com
Religion of Peace,https://mediabiasfactcheck.com/the-religion-of-peace,Questionable,Low,US,Low,thereligionofpeace.com
Remnant Newspaper,https://mediabiasfactcheck.com/the-remnant-magazine,Questionable,Low,US,Low,remnantnewspaper.com
Republic (Indiana,https://mediabiasfactcheck.com/the-republic-indiana,Center,High,US,High,therepublic.com
Republican (Masslive,https://mediabiasfactcheck.com/republican-masslive-springfield-bias-rating,Center,High,US,High,masslive.com
First TV,https://mediabiasfactcheck.com/the-resurgent,Right,Mixed,US,Medium,thefirsttv.com
RFAngle,https://mediabiasfactcheck.com/the-rfangle,Questionable,Mixed,US,Low,rfangle.com
Right Stuff,https://mediabiasfactcheck.com/the-right-stuff,Questionable,Very Low,US,Low,therightstuff.biz
Ringer,https://mediabiasfactcheck.com/the-ringer,Center-Left,High,US,High,theringer.com
Ron Paul Institute,https://mediabiasfactcheck.com/the-ron-paul-institute,Questionable,Low,US,Low,ronpaulinstitute.org
Root,https://mediabiasfactcheck.com/the-root,Left,Mostly Factual,US,High,theroot.com
Rundown Live,https://mediabiasfactcheck.com/the-rundown-live,Conspiracy-Pseudoscience,Low,US,Low,therundownlive.com
Salinas Californian,https://mediabiasfactcheck.com/the-salinas-californian-bias,Center-Left,High,US,High,thecalifornian.com
Santa Fe New Mexican,https://mediabiasfactcheck.com/santa-fe-new-mexican,Center-Left,High,US,High,santafenewmexican.com
Science Times,https://mediabiasfactcheck.com/the-science-times,Questionable,Mixed,US,Low,sciencetimes.com
Scientist,https://mediabiasfactcheck.com/the-scientist,Pro-Science,Very High,US,High,the-scientist.com
Scoop,https://mediabiasfactcheck.com/the-scoop,Questionable,Mixed,US,Low,thescoop.us
Seattle Tribune,https://mediabiasfactcheck.com/the-seattle-tribune,Satire,,US,,theseattletribune.com
Sentinel (Pennsylvania,https://mediabiasfactcheck.com/the-sentinel-pennsylvania,Center,High,US,High,cumberlink.com
Seymour Tribune,https://mediabiasfactcheck.com/the-seymour-tribune-bias,Center-Right,High,US,High,tribtown.com
Skeptics Dictionary,https://mediabiasfactcheck.com/the-skeptics-dictionary,Pro-Science,Very High,US,High,skepdic.com
Skimm,https://mediabiasfactcheck.com/the-skimm,Center-Left,High,US,High,theskimm.com
Smoking Gun,https://mediabiasfactcheck.com/the-smoking-gun,Center,High,US,High,thesmokinggun.com
Sons of Liberty Media,https://mediabiasfactcheck.com/sons-liberty-media,Questionable,Low,US,Low,sonsoflibertymedia.com
Sorrentino,https://mediabiasfactcheck.com/the-sorrentino,Center-Right,Mixed,US,Medium,thesorrentino.com
Southern Illinoisan,https://mediabiasfactcheck.com/the-southern-illinoisan,Center,High,US,High,thesouthern.com
Spokesman-Review,https://mediabiasfactcheck.com/the-spokesman-review,Center,High,US,High,spokesman.com
Star Democrat,https://mediabiasfactcheck.com/the-star-democrat,Center,High,US,High,stardem.com
State (South Carolina,https://mediabiasfactcheck.com/the-state,Center-Left,High,US,High,thestate.com
State Journal-Register,https://mediabiasfactcheck.com/the-state-journal-register-bias,Center-Left,High,US,High,sj-r.com
State Press (Arizona,https://mediabiasfactcheck.com/the-state-press-arizona,Center-Left,High,US,High,statepress.com
Stern Facts,https://mediabiasfactcheck.com/the-stern-facts,Left,Mixed,US,Medium,thesternfacts.com
Stonk Market,https://mediabiasfactcheck.com/the-stonk-market-bias,Satire,,US,,thestonkmarket.com
Stranger,https://mediabiasfactcheck.com/the-stranger,Center-Left,High,US,High,thestranger.com
Strategy Bridge,https://mediabiasfactcheck.com/the-strategy-bridge,Center,High,US,High,thestrategybridge.org
Stream,https://mediabiasfactcheck.com/the-stream,Conspiracy-Pseudoscience,Mixed,US,Low,stream.org
Sumter Item,https://mediabiasfactcheck.com/the-sumter-item,Center-Right,High,US,High,theitem.com
Sun Magazine,https://mediabiasfactcheck.com/the-sun-magazine,Center-Left,High,US,High,thesunmagazine.org
Tennessean,https://mediabiasfactcheck.com/the-tennessean,Center,High,US,High,tennessean.com
Tennessee Star,https://mediabiasfactcheck.com/the-tennessee-star,Questionable,Mixed,US,Low,tennesseestar.com
Texan,https://mediabiasfactcheck.com/the-texan,Right,High,US,High,thetexan.news
Texas Observer,https://mediabiasfactcheck.com/the-texas-observer,Left,High,US,High,texasobserver.org
Times and Democrat,https://mediabiasfactcheck.com/the-times-and-democrat,Center,High,US,High,thetandd.com
Times Herald (Port Huron,https://mediabiasfactcheck.com/the-times-herald-port-huron,Center-Right,High,US,High,thetimesherald.com
Town Talk,https://mediabiasfactcheck.com/the-town-talk,Center,High,US,High,thetowntalk.com
Trace,https://mediabiasfactcheck.com/the-trace,Center-Left,High,US,High,thetrace.org
True Defender,https://mediabiasfactcheck.com/the-true-defender,Questionable,Low,US,Low,thetruedefender.com
True Reporter,https://mediabiasfactcheck.com/the-true-reporter,Questionable,Low,US,Low,thetruereporter.com
Trumpet,https://mediabiasfactcheck.com/the-trumpet,Conspiracy-Pseudoscience,Mixed,US,Low,thetrumpet.com
Truth about Cancer,https://mediabiasfactcheck.com/the-truth-about-cancer,Conspiracy-Pseudoscience,Low,US,Low,thetruthaboutcancer.com
Truth About Guns,https://mediabiasfactcheck.com/the-truth-about-guns,Right,Mostly Factual,US,High,thetruthaboutguns.com
Underground Report,https://mediabiasfactcheck.com/the-underground-report,Satire,,US,,undergroundnewsreport.com
Union (Nevada County,https://mediabiasfactcheck.com/the-union-nevada-county-bias,Center,High,US,High,theunion.com
Unreal Times,https://mediabiasfactcheck.com/the-unreal-times,Satire,,US,,theunrealtimes.com
Unz Review,https://mediabiasfactcheck.com/the-unz-report,Questionable,Low,US,Low,unz.com
US Sun,https://mediabiasfactcheck.com/the-us-sun-bias,Right,Mixed,US,Medium,the-sun.com
Vaccine Reaction,https://mediabiasfactcheck.com/the-vaccine-reaction,Conspiracy-Pseudoscience,Low,US,Low,thevaccinereaction.org
Verge,https://mediabiasfactcheck.com/the-verge,Center-Left,High,US,High,theverge.com
Village Voice,https://mediabiasfactcheck.com/the-village-voice,Left,High,US,High,villagevoice.com
Vindicator,https://mediabiasfactcheck.com/the-vindicator,Center,High,US,High,vindy.com
Virginian-Pilot,https://mediabiasfactcheck.com/the-virginian-pilot,Center-Left,High,US,High,pilotonline.com
Waking Times,https://mediabiasfactcheck.com/the-waking-times,Conspiracy-Pseudoscience,Low,US,Low,wakingtimes.com
Washington Feed,https://mediabiasfactcheck.com/the-washington-feed,Questionable,Mixed,US,Low,washingtonfeed.com
Washington Institute for Near East Policy,https://mediabiasfactcheck.com/washington-institute-for-near-east-policy,Center-Right,Mixed,US,Medium,washingtoninstitute.org
Washington Reporter,https://mediabiasfactcheck.com/the-washington-reporter,Questionable,Mixed,US,Low,thewashingtonreporter.com
Washington Sentinel,https://mediabiasfactcheck.com/the-washington-sentinel,Questionable,Mixed,US,Low,thewashingtonsentinel.com
Washington Spectator,https://mediabiasfactcheck.com/the-washington-spectator,Left,High,US,High,washingtonspectator.org
Washington Standard,https://mediabiasfactcheck.com/the-washington-standard,Questionable,Low,US,Low,thewashingtonstandard.com
Waterloo-Cedar Falls Courier,https://mediabiasfactcheck.com/the-waterloo-cedar-falls-courier,Center,High,US,High,wcfcourier.com
Week,https://mediabiasfactcheck.com/the-week,Left,High,US,High,theweek.com
Whim,https://mediabiasfactcheck.com/the-whim,Center,High,US,High,thewhim.com
Wilderness Society,https://mediabiasfactcheck.com/the-wilderness-society,Center-Left,High,US,High,wilderness.org
Wildwood Indeperndent,https://mediabiasfactcheck.com/the-wildwood-independent-bias,Center,High,US,High,theunion.com/news/twi
Winchester Star,https://mediabiasfactcheck.com/the-winchester-star,Center-Right,High,US,High,winchesterstar.com
World Can't Wait,https://mediabiasfactcheck.com/world-cant-wait,Left,Mixed,US,Medium,worldcantwait.net
World from PRX,https://mediabiasfactcheck.com/public-radio-international-pri,Center-Left,High,US,High,theworld.org
Zero Hour,https://mediabiasfactcheck.com/the-zero-hour,Left,High,US,High,thisisthezerohour.com
TheDonald.Win,https://mediabiasfactcheck.com/thedonald-win,Questionable,Low,US,Low,thedonald.win
TheGreggJarrett.com,https://mediabiasfactcheck.com/thegreggjarrett-com,Right,Mixed,US,Medium,thegreggjarrett.com
TheGrio,https://mediabiasfactcheck.com/thegrio,Left,Mostly Factual,US,High,thegrio.com
Thejeffreylord.com,https://mediabiasfactcheck.com/thejeffreylord-com,Questionable,Mixed,US,Low,thejeffreylord.com
TheLeoTerrell,https://mediabiasfactcheck.com/theleoterrell-com,Right,Mixed,US,Medium,theleoterrell.com
